編號,地震時間,經度,緯度,規模,深度,最大震度,位置
小區域有感地震,2012-02-02 12:25:22,121.46,23.76,3.1,14.9,3,花蓮縣政府西南方  30.0  公里 (位於花蓮縣鳳林鎮)(花蓮縣鳳林鎮)
小區域有感地震,2012-02-01 18:36:02,120.45,23.52,2.4,9.8,1,嘉義市政府北方  4.4  公里 (位於嘉義縣民雄鄉)(嘉義縣民雄鄉)
小區域有感地震,2012-02-01 11:43:01,121.63,23.8,3.8,36.5,1,花蓮縣政府南方  20.9  公里 (位於花蓮縣近海)(花蓮縣近海)
022   ,2012-01-30 07:47:52,121.63,23.96,2.7,9.3,3,花蓮縣政府南方  3.5  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2012-01-29 16:07:39,122.37,25.32,5.6,264.7,2,基隆市政府東偏北方  66.4  公里 (位於台灣東北部海域)(台灣東北部海域)
小區域有感地震,2012-01-29 08:50:43,121.62,24.01,2.9,9.1,3,花蓮縣政府北方  1.9  公里 (位於花蓮縣花蓮市)(花蓮縣花蓮市)
小區域有感地震,2012-01-29 06:40:10,121.62,24.01,2.5,9.1,2,花蓮縣政府北方  1.9  公里 (位於花蓮縣花蓮市)(花蓮縣花蓮市)
小區域有感地震,2012-01-29 06:35:12,121.63,24.01,2.6,8.2,2,花蓮縣政府北偏東方  2.5  公里 (位於花蓮縣花蓮市)(花蓮縣花蓮市)
小區域有感地震,2012-01-28 14:58:13,120.61,23.77,3,21.4,1,雲林縣政府東北方  11.6  公里 (位於雲林縣林內鄉)(雲林縣林內鄉)
小區域有感地震,2012-01-28 14:45:59,121.62,23.96,2.8,8.5,3,花蓮縣政府南方  3.1  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2012-01-28 10:52:54,121.61,23.97,2.6,8.2,3,花蓮縣政府南偏西方  2.7  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2012-01-27 09:55:25,121.95,24.39,3.3,19.6,3,宜蘭縣政府南偏東方  41.8  公里 (位於台灣東部海域)(台灣東部海域)
小區域有感地震,2012-01-27 00:40:13,121.6,23.96,2.1,5.7,1,花蓮縣政府西南方  3.9  公里 (位於花蓮縣吉安鄉)(花蓮縣吉安鄉)
小區域有感地震,2012-01-27 00:30:09,121.62,23.96,2.8,7.6,2,花蓮縣政府南方  3.4  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2012-01-26 23:18:00,121.59,23.95,2.2,5.6,1,花蓮縣政府西南方  4.9  公里 (位於花蓮縣吉安鄉)(花蓮縣吉安鄉)
021   ,2012-01-26 23:16:55,121.63,23.95,3.7,8.5,3,花蓮縣政府南方  4.6  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2012-01-26 23:16:09,121.61,23.95,2.5,6.5,2,花蓮縣政府南偏西方  4.3  公里 (位於花蓮縣近海)(花蓮縣近海)
020   ,2012-01-25 16:36:23,122.2,24.89,5,124.3,2,宜蘭縣政府東偏北方  47.4  公里 (位於台灣東部海域)(台灣東部海域)
小區域有感地震,2012-01-25 10:05:35,121.57,23.26,4.2,38,3,台東縣政府東北方  71.0  公里 (位於台灣東部海域)(台灣東部海域)
小區域有感地震,2012-01-25 01:56:57,121.42,23.76,2.9,22.5,2,花蓮縣政府西南方  32.8  公里 (位於花蓮縣鳳林鎮)(花蓮縣鳳林鎮)
小區域有感地震,2012-01-24 23:26:38,120.46,24.05,2.9,23.7,1,彰化縣政府西偏南方  9.1  公里 (位於彰化縣福興鄉)(彰化縣福興鄉)
小區域有感地震,2012-01-24 18:26:16,121.94,23.56,4.2,21.3,2,花蓮縣政府東南方  57.6  公里 (位於台灣東部海域)(台灣東部海域)
小區域有感地震,2012-01-24 16:01:32,121.66,23.9,3.2,24.4,1,花蓮縣政府南偏東方  11.0  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2012-01-23 16:54:38,121.1,23.96,3.7,11.1,2,南投縣政府東方  42.5  公里 (位於南投縣仁愛鄉)(南投縣仁愛鄉)
小區域有感地震,2012-01-22 23:28:54,121.43,22.98,3.2,12.9,2,台東縣政府東北方  38.5  公里 (位於台灣東部海域)(台灣東部海域)
019   ,2012-01-21 23:39:18,120.42,22.4,3.5,30.4,2,高雄市政府南偏東方  27.0  公里 (位於屏東縣近海)(屏東縣近海)
小區域有感地震,2012-01-21 15:45:19,121.74,24.22,3.3,14.2,3,花蓮縣政府北偏東方  27.9  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2012-01-21 08:50:01,122.22,24.07,4.9,18.2,1,花蓮縣政府東方  61.3  公里 (位於台灣東部海域)(台灣東部海域)
小區域有感地震,2012-01-20 08:20:14,120.61,22.98,3.5,16.1,2,屏東縣政府北偏東方  34.6  公里 (位於高雄市杉林區)(高雄市杉林區)
018   ,2012-01-20 06:06:56,122.05,24.52,4.4,13.8,3,宜蘭縣政府東南方  37.2  公里 (位於台灣東部海域)(台灣東部海域)
小區域有感地震,2012-01-19 06:52:30,121.73,24.23,3.2,11,3,花蓮縣政府北偏東方  28.5  公里 (位於花蓮縣近海)(花蓮縣近海)
017   ,2012-01-18 14:57:04,120.62,23.51,4.2,9.1,3,嘉義市政府東方  17.5  公里 (位於嘉義縣竹崎鄉)(嘉義縣竹崎鄉)
016   ,2012-01-18 14:36:46,122.09,24.91,4.1,12.2,2,宜蘭縣政府東偏北方  38.5  公里 (位於台灣東部海域)(台灣東部海域)
015   ,2012-01-17 20:25:51,121.6,23.98,3,8.1,3,花蓮縣政府西南方  2.5  公里 (位於花蓮縣花蓮市)(花蓮縣花蓮市)
小區域有感地震,2012-01-17 12:58:02,121.73,24.24,3,9.9,2,花蓮縣政府北偏東方  29.5  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2012-01-17 06:02:10,121.73,24.23,3.3,11.1,3,花蓮縣政府北偏東方  29.4  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2012-01-16 23:38:41,120.9,23.84,3.4,16.1,2,南投縣政府東偏南方  22.3  公里 (位於南投縣魚池鄉)(南投縣魚池鄉)
小區域有感地震,2012-01-16 20:17:34,121.59,24,2.2,7.4,1,花蓮縣政府西偏北方  3.2  公里 (位於花蓮縣花蓮市)(花蓮縣花蓮市)
014   ,2012-01-16 17:55:44,121.92,24.41,4.3,20.4,5,宜蘭縣政府南偏東方  38.7  公里 (位於台灣東部海域)(台灣東部海域)
013   ,2012-01-16 12:11:06,121.81,24.41,3.3,12.6,4,宜蘭縣政府南方  35.8  公里 (位於宜蘭縣近海)(宜蘭縣近海)
小區域有感地震,2012-01-16 10:51:46,121.75,24.81,3.7,88.4,1,宜蘭縣政府北方  9.1  公里 (位於宜蘭縣礁溪鄉)(宜蘭縣礁溪鄉)
小區域有感地震,2012-01-16 09:40:37,121.61,24.01,2.4,7.9,1,花蓮縣政府北偏西方  2.5  公里 (位於花蓮縣花蓮市)(花蓮縣花蓮市)
小區域有感地震,2012-01-16 06:27:33,121.73,24.23,2.9,11.2,3,花蓮縣政府北偏東方  29.0  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2012-01-16 05:59:35,121.62,24.01,2.5,5.9,1,花蓮縣政府北方  2.6  公里 (位於花蓮縣花蓮市)(花蓮縣花蓮市)
012   ,2012-01-16 05:58:35,121.74,24.23,3.6,12.4,3,花蓮縣政府北偏東方  29.5  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2012-01-15 09:18:29,121.73,24.23,3.4,11.4,3,花蓮縣政府北偏東方  28.5  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2012-01-15 08:56:38,121.73,24.24,3.3,12.4,2,花蓮縣政府北偏東方  29.5  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2012-01-15 08:17:12,121.73,24.23,3.3,10.6,3,花蓮縣政府北偏東方  28.8  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2012-01-15 07:55:18,121.74,24.24,3.2,13.1,2,花蓮縣政府北偏東方  29.8  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2012-01-15 01:11:41,121.72,24.23,3,10.3,2,花蓮縣政府北偏東方  28.8  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2012-01-14 16:16:29,121.6,23.96,2.9,7.6,2,花蓮縣政府南偏西方  4.0  公里 (位於花蓮縣吉安鄉)(花蓮縣吉安鄉)
小區域有感地震,2012-01-14 02:46:26,121.61,24,2.6,7.4,2,花蓮縣政府北偏西方  1.2  公里 (位於花蓮縣花蓮市)(花蓮縣花蓮市)
小區域有感地震,2012-01-13 22:06:56,121.62,24,2.2,8.4,1,花蓮縣政府北偏西方  1.5  公里 (位於花蓮縣花蓮市)(花蓮縣花蓮市)
小區域有感地震,2012-01-13 18:40:08,121.91,24.43,3.7,20.2,3,宜蘭縣政府南偏東方  36.6  公里 (位於台灣東部海域)(台灣東部海域)
小區域有感地震,2012-01-13 12:53:58,121.6,24,2.1,7.5,1,花蓮縣政府西偏北方  2.1  公里 (位於花蓮縣花蓮市)(花蓮縣花蓮市)
小區域有感地震,2012-01-13 12:43:07,121.62,24,2.6,6.9,2,花蓮縣政府北方  1.2  公里 (位於花蓮縣花蓮市)(花蓮縣花蓮市)
小區域有感地震,2012-01-13 12:42:34,121.6,24.02,2.1,6,1,花蓮縣政府西北方  3.5  公里 (位於花蓮縣新城鄉)(花蓮縣新城鄉)
小區域有感地震,2012-01-13 12:41:17,121.63,24.01,2.8,6.2,2,花蓮縣政府東北方  2.4  公里 (位於花蓮縣花蓮市)(花蓮縣花蓮市)
小區域有感地震,2012-01-13 11:12:44,121.61,24,2.6,7.3,1,花蓮縣政府北偏西方  1.5  公里 (位於花蓮縣花蓮市)(花蓮縣花蓮市)
小區域有感地震,2012-01-12 21:44:38,121.64,23.96,2.4,7.7,1,花蓮縣政府南偏東方  3.6  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2012-01-12 21:22:33,120.58,23.38,3,15.6,1,嘉義市政府東南方  17.8  公里 (位於嘉義縣中埔鄉)(嘉義縣中埔鄉)
小區域有感地震,2012-01-12 02:11:28,121.62,24.01,2.4,8.8,1,花蓮縣政府北偏西方  1.6  公里 (位於花蓮縣花蓮市)(花蓮縣花蓮市)
小區域有感地震,2012-01-11 18:45:54,121.61,23.98,2.5,8.4,3,花蓮縣政府西南方  1.2  公里 (位於花蓮縣花蓮市)(花蓮縣花蓮市)
小區域有感地震,2012-01-11 18:03:22,121.61,23.99,2.3,7.9,2,花蓮縣政府西南方  1.0  公里 (位於花蓮縣花蓮市)(花蓮縣花蓮市)
小區域有感地震,2012-01-11 10:17:46,121.63,23.98,2.6,7.8,2,花蓮縣政府東南方  1.4  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2012-01-11 04:55:16,121.63,24.01,2.9,7.6,2,花蓮縣政府北偏東方  2.2  公里 (位於花蓮縣花蓮市)(花蓮縣花蓮市)
小區域有感地震,2012-01-11 02:21:17,121.75,24.42,2.9,26,2,宜蘭縣政府南方  34.0  公里 (位於宜蘭縣南澳鄉)(宜蘭縣南澳鄉)
小區域有感地震,2012-01-11 01:42:38,121.41,24.1,3,7.3,2,花蓮縣政府西偏北方  24.4  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2012-01-11 01:42:03,121.61,24.01,2.2,7.9,1,花蓮縣政府北偏西方  2.3  公里 (位於花蓮縣花蓮市)(花蓮縣花蓮市)
小區域有感地震,2012-01-10 20:53:52,121.6,24.02,2.7,8.9,2,花蓮縣政府西北方  3.6  公里 (位於花蓮縣新城鄉)(花蓮縣新城鄉)
小區域有感地震,2012-01-10 20:53:44,121.58,24.02,2.2,7.1,1,花蓮縣政府西北方  4.5  公里 (位於花蓮縣新城鄉)(花蓮縣新城鄉)
小區域有感地震,2012-01-10 20:44:46,121.61,24.03,2.7,5.5,2,花蓮縣政府北偏西方  4.1  公里 (位於花蓮縣新城鄉)(花蓮縣新城鄉)
011   ,2012-01-10 17:34:24,121.6,23.99,3.4,8,3,花蓮縣政府西方  2.2  公里 (位於花蓮縣花蓮市)(花蓮縣花蓮市)
小區域有感地震,2012-01-10 16:00:41,120.85,22.67,3.1,8.8,3,台東縣政府西偏南方  31.8  公里 (位於台東縣卑南鄉)(台東縣卑南鄉)
小區域有感地震,2012-01-10 15:41:07,122.76,24.53,4.8,90,1,宜蘭縣政府東偏南方  103.1  公里 (位於台灣東部海域)(台灣東部海域)
010   ,2012-01-10 09:27:46,121.61,23.97,2.9,8.8,3,花蓮縣政府南偏西方  2.5  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2012-01-10 09:26:56,121.54,24,2.4,6.8,2,花蓮縣政府西方  8.1  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
009   ,2012-01-10 09:26:42,121.63,23.97,3,8.6,3,花蓮縣政府南偏東方  2.0  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2012-01-09 21:26:19,121.62,24.02,2.4,8.1,1,花蓮縣政府北方  3.0  公里 (位於花蓮縣花蓮市)(花蓮縣花蓮市)
小區域有感地震,2012-01-09 17:34:02,121.36,22.05,3.5,15.6,3,台東縣政府南偏東方  80.9  公里 (位於台灣東部海域)(台灣東部海域)
小區域有感地震,2012-01-09 17:33:56,121.6,23.99,3,8.1,3,花蓮縣政府西方  2.3  公里 (位於花蓮縣花蓮市)(花蓮縣花蓮市)
008   ,2012-01-09 15:07:41,121.63,24,3.4,8.1,3,花蓮縣政府北偏東方  1.6  公里 (位於花蓮縣花蓮市)(花蓮縣花蓮市)
007   ,2012-01-09 14:17:31,121.63,23.99,3.2,9,3,花蓮縣政府東方  1.0  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2012-01-09 14:16:39,121.61,23.99,2.9,8.9,2,花蓮縣政府西方  1.3  公里 (位於花蓮縣花蓮市)(花蓮縣花蓮市)
小區域有感地震,2012-01-09 12:28:50,121.63,24,2.8,9.9,2,花蓮縣政府東北方  1.2  公里 (位於花蓮縣花蓮市)(花蓮縣花蓮市)
小區域有感地震,2012-01-09 12:27:22,121.58,24,3,6.3,2,花蓮縣政府西偏北方  4.4  公里 (位於花蓮縣花蓮市)(花蓮縣花蓮市)
006   ,2012-01-09 12:26:48,121.63,23.99,4.2,8.2,4,花蓮縣政府東偏北方  .8  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2012-01-09 11:40:35,121.61,23.99,2.6,8.7,2,花蓮縣政府西偏北方  1.3  公里 (位於花蓮縣花蓮市)(花蓮縣花蓮市)
005   ,2012-01-07 05:40:39,120.49,23.13,3.7,13.7,3,台南市政府東偏北方  34.4  公里 (位於台南市楠西區)(台南市楠西區)
小區域有感地震,2012-01-06 00:32:10,121.84,24.23,3.2,21.9,2,花蓮縣政府東北方  35.3  公里 (位於台灣東部海域)(台灣東部海域)
小區域有感地震,2012-01-05 23:45:22,121.59,23.96,2.6,9.2,2,花蓮縣政府西南方  4.5  公里 (位於花蓮縣吉安鄉)(花蓮縣吉安鄉)
004   ,2012-01-05 10:30:51,120.62,23.54,3.3,8.8,2,嘉義市政府東偏北方  17.7  公里 (位於嘉義縣梅山鄉)(嘉義縣梅山鄉)
小區域有感地震,2012-01-05 09:48:10,121.59,23.98,2.2,8.5,1,花蓮縣政府西偏南方  3.8  公里 (位於花蓮縣花蓮市)(花蓮縣花蓮市)
小區域有感地震,2012-01-05 02:36:32,121.79,24.44,1.4,9.6,3,宜蘭縣政府南方  32.6  公里 (位於宜蘭縣蘇澳鎮)(宜蘭縣蘇澳鎮)
小區域有感地震,2012-01-04 22:42:14,121.54,23.98,2.5,4.6,2,花蓮縣政府西方  8.5  公里 (位於花蓮縣吉安鄉)(花蓮縣吉安鄉)
小區域有感地震,2012-01-04 22:41:54,121.61,23.97,2.6,8.1,2,花蓮縣政府南偏西方  3.2  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2012-01-04 21:24:47,121.59,23.98,2.4,9.4,2,花蓮縣政府西偏南方  3.3  公里 (位於花蓮縣花蓮市)(花蓮縣花蓮市)
003   ,2012-01-04 21:22:23,121.59,23.97,3,7.2,3,花蓮縣政府西南方  4.4  公里 (位於花蓮縣吉安鄉)(花蓮縣吉安鄉)
小區域有感地震,2012-01-04 21:21:28,121.6,23.95,2.4,9,2,花蓮縣政府南偏西方  5.1  公里 (位於花蓮縣吉安鄉)(花蓮縣吉安鄉)
小區域有感地震,2012-01-04 17:17:20,121.65,24.33,3.6,24,3,花蓮縣政府北方  37.8  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
002   ,2012-01-04 14:59:57,121.6,23.97,4.7,7.4,4,花蓮縣政府西南方  2.9  公里 (位於花蓮縣花蓮市)(花蓮縣花蓮市)
小區域有感地震,2012-01-04 14:56:37,121.59,23.97,2.2,7.8,2,花蓮縣政府西偏南方  3.5  公里 (位於花蓮縣吉安鄉)(花蓮縣吉安鄉)
001   ,2012-01-04 14:53:46,121.6,23.96,3.8,8.9,4,花蓮縣政府南偏西方  3.7  公里 (位於花蓮縣吉安鄉)(花蓮縣吉安鄉)
小區域有感地震,2012-01-04 14:53:19,121.58,23.98,2.7,8.3,1,花蓮縣政府西偏南方  3.8  公里 (位於花蓮縣吉安鄉)(花蓮縣吉安鄉)
小區域有感地震,2012-01-04 11:35:10,121.6,23.98,2.2,7.5,2,花蓮縣政府西偏南方  3.0  公里 (位於花蓮縣花蓮市)(花蓮縣花蓮市)
小區域有感地震,2012-01-01 22:23:23,121.72,24.45,4.1,56,2,宜蘭縣政府南方  31.4  公里 (位於宜蘭縣南澳鄉)(宜蘭縣南澳鄉)
小區域有感地震,2012-01-01 18:47:16,120.91,23.18,3,2,3,台東縣政府北偏西方  52.8  公里 (位於台東縣海端鄉)(台東縣海端鄉)
小區域有感地震,2012-01-01 18:46:18,120.91,23.17,3.1,2,3,台東縣政府北偏西方  52.5  公里 (位於台東縣海端鄉)(台東縣海端鄉)
小區域有感地震,2012-01-01 10:30:12,121.62,23.66,3.5,31,2,花蓮縣政府南方  37.0  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2012-01-01 01:41:23,121.94,24.47,3,13.1,3,宜蘭縣政府東南方  34.0  公里 (位於台灣東部海域)(台灣東部海域)
